,dataset,alg,hyperparam,train_gmeans,train_recall,train_pf,dev_gmeans,dev_recall,dev_pf,test_gmeans,test_recall,test_pf
0,KC1,NN_SMOTE,"{'drop': 0.6, 'layer': 1.0, 'lr': 0.001, 'neighbors': 2.157649934245167, 'neurons': 21.73086339263426, 'sampling': 1.0}",0.723049805084308,0.75301288267073,0.30572101399085744,0.7395543529888927,0.8178694158075601,0.3312616532007458,0.7143818048100088,0.7361963190184049,0.30678631519910265
1,KC2,NN_SMOTE,"{'drop': 0.1, 'layer': 3.2265022051657994, 'lr': 0.01, 'neighbors': 5.733345876688639, 'neurons': 42.57134718736757, 'sampling': 1.0}",0.8817092540422861,0.8956780923994039,0.13204172876304024,0.8498365855987975,0.8444444444444444,0.14473684210526316,0.8183240911811218,0.7850467289719626,0.14698795180722893
2,PC1,NN_SMOTE,"{'drop': 0.11403851329243483, 'layer': 3.8571426364007633, 'lr': 0.0076358619440563035, 'neighbors': 10.938215565456973, 'neurons': 15.894041093227774, 'sampling': 0.8632758523039238}",0.9087438651637247,0.9729349736379613,0.15121212121212121,0.8529139521401543,0.8870967741935484,0.17995169082125603,0.7895101558035741,0.7532467532467533,0.17248062015503876
3,PC3,NN_SMOTE,"{'drop': 0.20427473182450662, 'layer': 3.269045972566642, 'lr': 0.008580470306324755, 'neighbors': 8.103772360675176, 'neurons': 12.20722494075932, 'sampling': 0.7692123067106598}",0.8593358420317677,0.9382716049382716,0.21295914156004953,0.7748351167365085,0.8125,0.26108374384236455,0.8057480934067718,0.8432835820895522,0.2301166489925769
4,PC4,NN_SMOTE,"{'drop': 0.1967600773234771, 'layer': 1.6156607982518576, 'lr': 0.005850887921884078, 'neighbors': 8.499611153441402, 'neurons': 8.904851029113962, 'sampling': 1.0}",0.9090480655572883,0.9673301929797903,0.1457225345692144,0.8726774916967546,0.8961038961038961,0.15013648771610555,0.8784342716805403,0.9044943820224719,0.146875
5,CM1,NN_SMOTE,"{'drop': 0.6, 'layer': 3.6957067862699153, 'lr': 0.01, 'neighbors': 9.391645284517152, 'neurons': 42.226732875425675, 'sampling': 1.0}",0.822853142246565,0.9268802228412256,0.2694986072423398,0.7850159234053791,0.85,0.275,0.7601860453257626,0.7959183673469388,0.2739420935412027
6,JM1,NN_SMOTE,"{'drop': 0.1, 'layer': 1.0, 'lr': 0.01, 'neighbors': 8.534420802375887, 'neurons': 50.0, 'sampling': 1.0}",0.6911245033954088,0.7004205758654157,0.31804819039849214,0.656421008936098,0.6426315789473684,0.32949367088607595,0.6652888772800339,0.6504992867332382,0.31958527970832856
7,KC1,NN,"{'drop': 0.13149225292782904, 'layer': 4.098437320425177, 'lr': 0.004232739613092315, 'neurons': 42.2685655979525}",0.5855802526192063,0.3518728717366629,0.025488294777670038,0.6127313425066456,0.3917525773195876,0.041640770665009326,0.5648232347679145,0.3312883435582822,0.03701626472237801
8,KC2,NN,"{'drop': 0.2026318947438108, 'layer': 4.060192033567395, 'lr': 0.0015069629511537414, 'neurons': 48.58758731709495}",0.7381591330261023,0.586483390607102,0.07093889716840536,0.76702889993359,0.6333333333333333,0.07105263157894737,0.7156147655948026,0.5607476635514018,0.08674698795180723
9,PC1,NN,"{'drop': 0.1, 'layer': 2.589449262666062, 'lr': 0.006196773344449673, 'neurons': 45.11311881732735}",0.4546304429046397,0.2073170731707317,0.0030303030303030303,0.4388773982947719,0.1935483870967742,0.004830917874396135,0.3591507035026343,0.12987012987012986,0.006782945736434108
